generation,mean_fitness,best_fitness
1,-3.090454,0.000000
2,-3.090454,0.000000
3,-3.090037,0.000000
4,-2.673363,0.000000
5,-4.341310,0.000000
6,-2.256273,0.000000
7,-2.256272,0.000000
8,-2.673363,0.000000
9,-1.422091,0.000000
10,-1.004583,0.000000
11,-1.839181,0.000000
12,-1.839182,0.000000
13,-2.673363,0.000000
14,-1.839181,0.000000
15,-1.422091,0.000000
16,-1.839181,0.000000
17,-1.422091,0.000000
18,-1.004583,0.000000
19,-2.256273,0.000000
20,-3.090454,0.000000
21,-0.947507,4.690000
22,-1.372932,4.590000
23,-1.004583,0.000000
24,-0.423765,4.670000
25,-1.004583,0.000000
26,-0.896682,4.700000
27,-1.839181,0.000000
28,-1.004583,0.000000
29,-2.256272,0.000000
30,-3.090037,0.000000
31,-1.004583,0.000000
32,-2.256272,0.000000
33,-1.368765,4.640000
34,-2.673363,0.000000
35,-1.422091,0.000000
36,-1.839182,0.000000
37,-1.004583,0.000000
38,-1.839182,0.000000
39,-1.421674,0.000000
40,-1.004583,0.000000
41,-1.422091,0.000000
42,-1.004583,0.000000
43,-1.422091,0.000000
44,-1.004583,0.000000
45,-1.004583,0.000000
46,-1.422091,0.000000
47,-1.422091,0.000000
48,-1.004583,0.000000
49,-1.839181,0.000000
50,-1.004583,0.000000
51,-1.422091,0.000000
52,-1.422091,0.000000
53,-1.004583,0.000000
54,-0.527500,4.725000
55,-1.839181,0.000000
56,-2.256272,0.000000
57,-1.839181,0.000000
58,-1.839182,0.000000
59,-1.422091,0.000000
60,-1.422091,0.000000
61,-1.004583,0.000000
62,-1.004583,0.000000
63,-0.941674,4.760000
64,-1.004583,0.000000
65,-0.527083,4.725000
66,-1.004583,0.000000
67,-1.004583,0.000000
68,-1.839182,0.000000
69,-1.004583,0.000000
70,-0.947924,4.685000
71,-1.004583,0.000000
72,-0.538333,4.595000
73,-1.004583,0.000000
74,-1.004583,0.000000
75,0.406667,4.660000
76,-1.004583,0.000000
77,-0.945008,4.720000
78,-1.004583,0.000000
79,-0.952091,4.635000
80,-1.004583,0.000000
81,-0.531250,4.680000
82,-1.004583,0.000000
83,-1.366682,4.665000
84,-1.004583,0.000000
85,-1.004583,0.000000
86,-1.422091,0.000000
87,-0.525833,4.740000
88,-1.839182,0.000000
89,-1.004583,0.000000
90,-1.422091,0.000000
91,-1.004583,0.000000
92,-1.004583,0.000000
93,-1.004583,0.000000
94,-1.004583,0.000000
95,-0.535833,4.625000
96,-0.532500,4.665000
97,-1.422091,0.000000
98,-0.540000,4.575000
99,-0.536667,4.610000
100,-1.422091,0.000000
101,-1.004583,0.000000
102,-1.004583,0.000000
103,-1.839181,0.000000
104,-0.532083,4.665000
105,-1.004583,0.000000
106,-0.532500,4.665000
107,-1.004583,0.000000
108,-1.004583,0.000000
109,-0.542500,4.545000
110,-1.004583,0.000000
111,-1.004583,0.000000
112,-0.530417,4.690000
113,-1.004583,0.000000
114,-1.004583,0.000000
115,-1.004583,0.000000
116,-1.004583,0.000000
117,-0.542917,4.540000
118,-0.956674,4.580000
119,-2.256272,0.000000
120,-1.004583,0.000000
121,-1.004583,0.000000
122,-1.004583,0.000000
123,-1.004583,0.000000
124,-1.004583,0.000000
125,-0.532917,4.655000
126,-1.004583,0.000000
127,-1.004583,0.000000
128,-1.004583,0.000000
129,-1.004583,0.000000
130,-1.787522,4.620000
131,-1.422091,0.000000
132,-0.535000,4.630000
133,-1.004583,0.000000
134,-1.004583,0.000000
135,-1.004583,0.000000
136,-0.540000,4.575000
137,-1.004583,0.000000
138,-0.536667,4.615000
139,-0.531667,4.670000
140,-0.537083,4.605000
141,-1.004583,0.000000
142,-0.534583,4.635000
143,-0.542500,4.545000
144,-0.535417,4.630000
145,0.416250,4.710000
146,-0.527917,4.715000
147,-0.539167,4.585000
148,-0.534167,4.640000
149,-1.004583,0.000000
150,-0.059583,4.680000
151,-0.947507,4.690000
152,-0.528750,4.705000
153,0.407917,4.715000
154,-1.004583,0.000000
155,-0.060000,4.675000
156,-0.948758,4.675000
157,-0.535833,4.620000
158,-1.374598,4.570000
159,-0.532083,4.665000
160,0.416667,4.745000
161,-0.059583,4.695000
162,0.417917,4.765000
163,-0.052500,4.710000
164,-0.057917,4.715000
165,-0.065833,4.655000
166,-1.004583,0.000000
167,0.881250,4.710000
168,0.875417,4.680000
169,-0.532083,4.665000
170,-0.010007,4.670000
171,-0.070000,4.630000
172,-0.837523,4.715000
173,0.421250,4.745000
174,-0.535000,4.630000
175,0.870000,4.680000
176,1.826250,4.700000
177,0.867917,4.630000
178,-1.779605,4.715000
179,-0.530417,4.685000
180,-0.008757,4.670000
181,-0.895015,4.660000
182,-1.313356,4.670000
183,0.880000,4.730000
184,-0.382106,4.665000
185,-1.370015,4.625000
186,-2.208363,4.575000
187,1.427493,4.750000
188,0.045402,4.660000
189,-1.246696,4.750000
190,-1.253780,4.695000
191,1.412909,4.715000
192,-2.518386,4.625000
193,-2.151287,4.640000
