generation,mean_fitness,best_fitness
1,-176208.343750,-171783.203125
2,-169860.312500,-166841.953125
3,-165826.343750,-163018.265625
4,-161654.812500,-151705.562500
5,-151064.125000,-144871.406250
6,-141567.937500,-139581.578125
7,-140563.953125,-136011.375000
8,-133853.328125,-131718.250000
9,-132811.171875,-130093.304688
10,-128049.703125,-125466.953125
11,-125808.296875,-124009.562500
12,-124067.132812,-122175.484375
13,-122963.687500,-120568.335938
14,-120579.523438,-118887.070312
15,-118577.117188,-117023.250000
16,-116026.859375,-114180.562500
17,-114976.859375,-113566.945312
18,-114400.210938,-112008.320312
19,-109670.242188,-108049.882812
20,-108409.007812,-104890.039062
21,-104904.781250,-103901.367188
22,-104815.320312,-102314.382812
23,-101919.046875,-100833.828125
24,-101303.851562,-100097.523438
25,-99699.453125,-98694.609375
26,-99839.742188,-98708.187500
27,-99674.617188,-98554.710938
28,-98798.390625,-97365.414062
29,-97066.460938,-95498.468750
30,-96174.617188,-94448.039062
31,-95229.492188,-93169.539062
32,-93691.281250,-91935.929688
33,-92146.437500,-90210.281250
34,-90652.671875,-89261.984375
35,-89619.460938,-88460.437500
36,-89045.546875,-88011.289062
37,-88417.578125,-87828.937500
38,-87782.726562,-85574.570312
39,-86145.609375,-84275.906250
40,-84502.320312,-83341.398438
41,-83926.492188,-83260.585938
42,-83649.515625,-82491.039062
43,-82333.328125,-81396.320312
44,-82186.148438,-81313.976562
45,-82178.101562,-81094.507812
46,-81412.921875,-80480.234375
47,-80683.773438,-79847.046875
48,-79776.429688,-79245.390625
49,-79560.937500,-79038.906250
50,-79201.039062,-78400.367188
51,-78990.632812,-77809.593750
52,-77683.437500,-77218.890625
53,-77108.085938,-76621.117188
54,-76764.937500,-76149.992188
55,-75883.218750,-75377.304688
56,-75614.898438,-74771.671875
57,-74634.703125,-74085.921875
58,-74288.406250,-73984.796875
59,-74246.289062,-73620.484375
60,-73694.796875,-73289.945312
61,-73229.640625,-72984.945312
62,-73186.453125,-72317.445312
63,-72485.593750,-72030.617188
64,-72007.445312,-71200.195312
65,-71441.328125,-71024.890625
66,-71263.062500,-70827.914062
67,-70946.718750,-70661.273438
68,-70758.750000,-70216.039062
69,-70398.539062,-69958.289062
70,-69975.312500,-69603.250000
71,-69668.195312,-69214.421875
72,-69317.890625,-69025.460938
73,-69013.937500,-68756.296875
74,-68771.117188,-68402.398438
75,-68504.929688,-68156.171875
76,-68182.156250,-67745.484375
77,-67671.101562,-67414.367188
78,-67546.734375,-67260.437500
79,-67376.570312,-67133.945312
80,-67233.257812,-66805.562500
81,-66570.312500,-66142.554688
82,-66037.937500,-65820.984375
83,-65908.726562,-65531.699219
84,-65596.648438,-65285.429688
85,-65290.085938,-65011.128906
86,-64991.113281,-64837.355469
87,-64892.488281,-64728.304688
88,-64778.898438,-64569.101562
89,-64605.816406,-64501.011719
90,-64470.710938,-64358.132812
91,-64306.585938,-64227.019531
92,-64297.410156,-64190.210938
93,-64320.296875,-64083.902344
94,-64201.351562,-63724.460938
95,-63689.339844,-63534.589844
96,-63485.089844,-63357.777344
97,-63524.933594,-63281.132812
98,-63306.101562,-63197.296875
99,-63239.031250,-63180.281250
100,-63260.843750,-63140.410156
101,-63146.621094,-63082.500000
102,-63150.816406,-63031.472656
103,-63042.144531,-62969.957031
104,-63000.839844,-62928.566406
105,-62991.164062,-62887.414062
106,-62866.765625,-62846.835938
107,-62854.765625,-62833.144531
108,-62813.171875,-62795.546875
109,-62858.136719,-62754.984375
110,-62745.738281,-62730.710938
111,-62725.765625,-62704.398438
112,-62749.394531,-62681.613281
113,-62796.621094,-62634.296875
114,-62586.468750,-62571.996094
115,-62745.894531,-62542.117188
116,-62672.320312,-62529.523438
117,-62519.378906,-62511.277344
118,-62504.019531,-62499.589844
119,-62703.285156,-62489.804688
120,-62477.835938,-62469.601562
121,-62511.300781,-62461.273438
122,-62507.941406,-62453.550781
123,-62426.203125,-62410.554688
124,-62442.343750,-62407.312500
125,-62451.960938,-62394.343750
126,-62411.828125,-62376.761719
127,-62375.113281,-62363.410156
128,-62356.378906,-62352.085938
129,-62544.148438,-62342.746094
130,-62339.613281,-62335.519531
131,-62459.289062,-62329.074219
132,-62405.996094,-62321.925781
133,-62484.839844,-62306.687500
134,-62429.171875,-62297.734375
135,-62325.464844,-62285.835938
136,-62283.285156,-62276.929688
137,-62308.078125,-62275.355469
138,-62306.261719,-62271.199219
139,-62364.039062,-62260.648438
140,-62256.453125,-62249.414062
141,-62327.906250,-62247.503906
142,-62249.003906,-62246.351562
143,-62437.730469,-62243.753906
144,-62340.613281,-62242.175781
145,-62274.011719,-62241.289062
146,-62244.453125,-62238.105469
147,-62279.105469,-62229.648438
148,-62228.964844,-62226.441406
149,-62431.171875,-62223.496094
150,-62255.160156,-62221.664062
151,-62253.851562,-62220.593750
152,-62283.269531,-62219.652344
153,-62282.519531,-62219.023438
154,-62362.023438,-62217.457031
155,-62216.839844,-62215.144531
156,-62311.714844,-62213.847656
157,-62353.808594,-62211.914062
158,-62354.285156,-62211.847656
159,-62243.968750,-62211.480469
160,-62309.679688,-62211.027344
161,-62257.125000,-62209.914062
162,-62287.660156,-62209.101562
163,-62305.851562,-62209.468750
164,-62289.480469,-62208.937500
165,-62348.980469,-62206.679688
166,-62207.988281,-62207.125000
167,-62239.269531,-62206.523438
168,-62239.296875,-62205.480469
169,-62365.789062,-62206.097656
