generation,mean_fitness,best_fitness
1,-159849.687500,-3874.947998
2,-149672.187500,-4001.124268
3,-149615.734375,-4171.020996
4,-149725.781250,-4364.663574
5,-149627.203125,-4397.074219
6,-149875.359375,-4627.146973
7,-149840.390625,-4701.610840
8,-149799.109375,-4646.772949
9,-149666.906250,-4829.959473
10,-149640.125000,-4852.458008
11,-149638.109375,-5189.084961
12,-149665.531250,-5170.107910
13,-149538.843750,-5579.209961
14,-149511.390625,-5549.116211
15,-149494.734375,-5605.322754
16,-149509.500000,-5685.444336
17,-149486.531250,-5719.393066
18,-149648.390625,-5759.351074
19,-149686.546875,-5811.197266
20,-149737.859375,-5849.984375
21,-149818.453125,-5917.398926
22,-149932.562500,-6040.928223
23,-149847.953125,-6073.946777
24,-149910.125000,-6629.196289
25,-150132.250000,-6661.654297
26,-150211.906250,-6644.290527
27,-150252.593750,-6626.591797
28,-150144.812500,-6698.208984
29,-150051.359375,-6694.416016
30,-150116.796875,-6698.537598
31,-150048.531250,-6964.571289
32,-149985.093750,-6962.723145
33,-149811.375000,-6982.660156
34,-149925.281250,-7011.004883
35,-150177.703125,-7111.842773
36,-150128.406250,-7240.058594
37,-150247.375000,-7277.500000
38,-150214.593750,-7269.895020
39,-150287.671875,-7267.030762
40,-150289.234375,-7260.496582
41,-150197.671875,-7297.248535
42,-150177.343750,-7359.456543
43,-150126.234375,-7683.401367
44,-150198.625000,-7888.212402
45,-150172.843750,-7879.587402
46,-150162.281250,-8062.888184
47,-150173.000000,-8113.910156
48,-150164.234375,-8096.501465
49,-150206.484375,-8094.619141
50,-150184.796875,-8049.517090
51,-150171.765625,-8085.615234
52,-150150.031250,-8246.505859
53,-150100.031250,-8159.592773
54,-150201.375000,-8312.559570
55,-150299.031250,-8671.820312
56,-150312.625000,-8821.770508
57,-150451.671875,-8795.114258
58,-150450.296875,-8897.256836
59,-150428.421875,-8867.687500
60,-150387.250000,-8234.606445
61,-150325.843750,-8839.830078
62,-150428.312500,-8806.129883
63,-150426.015625,-8884.742188
64,-150255.781250,-9047.105469
65,-150276.750000,-9001.213867
66,-150318.781250,-8991.615234
67,-150357.187500,-9046.307617
68,-150410.687500,-9057.219727
69,-150331.281250,-8883.569336
70,-150270.281250,-8975.974609
71,-150256.453125,-8885.381836
72,-150204.296875,-9073.789062
73,-150247.156250,-9101.812500
74,-150100.359375,-9019.193359
75,-149834.765625,-9086.318359
76,-149744.281250,-8906.366211
77,-149851.093750,-8891.843750
78,-149931.281250,-9028.279297
79,-149889.531250,-9056.273438
